#SKILL
Name         reserved~
Type         Spell
Flags        0
Minpos       8
Dammsg       ~
Wearoff      ???~
Minlevel     111
End

#SKILL
Name         'float'~
Type         unknown
Flags        0
Guild        0
Code         spell_smaug
Dammsg       ~
Minlevel     111
End

#SKILL
Name         float~
Type         unknown
Flags        0
Guild        0
Code         spell_smaug
Dammsg       ~
Minlevel     111
End

#SKILL
Name         unknown~
Type         unknown
Flags        0
Guild        0
Code         spell_smaug
Dammsg       ~
Minlevel     111
End

#SKILL
Name         acid blast~
Type         Spell
Flags        262149
Target       1
Minpos       7
Slot         67
Mana         15
Rounds       16
Code         spell_acid_blast
Dammsg       acid blast~
Hitchar      $c0010$N screams in pain as your acid blast burns $M.~
Hitvict      $c0010$n blasts you with acid... OUCH!~
Hitroom      $c0010$n blasts $N with acid, you cringe.~
Misschar     $c0010$N dodges your blast of acid.~
Missvict     $c0010$n tries to blast you with acid, but you wisely avoid that fate.~
Missroom     $c0010$N moves out of the way of $n's acid blast.~
Diechar      $c0010$N is dissolved into a sticky ooze.~
Dievict      $c0010You are hit by a blast of acid from $n, goodbye cruel world~
Dieroom      $c0010$n turns $N into a sticky puddle.~
Dice         l*d6~
Minlevel     6
End

#SKILL
Name         acid rain~
Type         Spell
Flags        32773
Target       1
Minpos       7
Slot         306
Mana         150
Rounds       24
Code         spell_smaug
Dammsg       acid rain~
Dice         (l/4)*d2~
Minlevel     56
End

#SKILL
Name         aid~
Type         Spell
Flags        67108864
Target       2
Minpos       7
Slot         118
Mana         5
Rounds       24
Code         spell_smaug
Dammsg       aid~
Wearoff      You don't feel so assisted anymore.~
Wearoffroom  $n seems less aided.~
Hitchar      $N looks aided.~
Hitvict      You feel better!~
Hitroom      $N is more aided now!~
Affect       '' 13 '3' 0
Affect       '10*20' 18 '1' 0
Minlevel     1
End

#SKILL
Name         animal friendship~
Type         Spell
Flags        67108864
Target       2
Minpos       8
Slot         143
Mana         2
Rounds       12
Code         spell_null
Dammsg       animal friendship~
Wearoff      You feel less intouch with animals.~
Minlevel     111
End

#SKILL
Name         animal growth~
Type         Spell
Flags        67108864
Target       2
Minpos       7
Slot         125
Mana         20
Rounds       24
Code         spell_smaug
Dammsg       animal growth~
Affect       'l*30' 71 '16' 0
Minlevel     111
End
