#SOCIAL
Name        accuse~
CharNoArg   Accuse who??~
OthersNoArg $n wants desperately to accuse someone.~
CharFound   You look accusingly at $M.~
OthersFound $n looks accusingly at $N.~
VictFound   $n looks accusingly at you.~
CharAuto    You accuse yourself.~
OthersAuto  $n seems to have a bad conscience.~
NotFound    Accuse somebody who's not even here ??~
End

#SOCIAL
Name        ack~
CharNoArg   You go 'ACK', and cough up something fuzzy.~
OthersNoArg You hear a loud 'ACK' and $n coughs up a hairball!~
CharFound   You gack a hairball onto $N.~
OthersFound $n gacks a hairball on $N.~
VictFound   $n gacks a hairball on you!~
CharAuto    Eh?~
OthersAuto  Eh?~
NotFound    You can't gack a hairball onto nobody!~
End

#SOCIAL
Name        adore~
CharNoArg   Oh, everybody is just so _wonderful_!~
OthersNoArg $n looks adoringly at everyone.~
CharFound   You gaze up at $M in complete adoration.~
OthersFound $n gazes up at $N in complete adoration.~
VictFound   $n gazes up at you in complete adoration.~
CharAuto    You just adore yourself.~
OthersAuto  $n happily adores $mself.~
NotFound    Alas, the object of your adoration is not here.~
End

#SOCIAL
Name        agree~
CharNoArg   You agree wholeheartedly.~
OthersNoArg $n agrees wholeheartedly.~
CharFound   You agree wholeheartedly with $M.~
OthersFound $n agrees wholeheartedly with $N.~
VictFound   $n agrees wholeheartedly with you.~
CharAuto    You agree with yourself ... at least SOMEONE does !!!~
OthersAuto  $n agrees with $mself ... good thing SOMEBODY does !!!~
NotFound    Its nice to agree but that person isn't here.~
End

#SOCIAL
Name        applaud~
CharNoArg   Clap, clap, clap.~
OthersNoArg $n gives a round of applause.~
End

#SOCIAL
Name        bark~
CharNoArg   Woof Woof!~
OthersNoArg $n barks while chasing $s tail.~
CharFound   You bark furiously at $N.~
OthersFound $n barks furiously at $N.~
VictFound   $n bark at you with a look of bloodlust in $s eye.~
CharAuto    You scare yourself.~
OthersAuto  $n barks and scares $mself~
NotFound    You can't bark at something that's not here.~
End

#SOCIAL
Name        bcheck~
CharNoArg   You look around for someone to slam into...~
OthersNoArg $n has a strange, wildly violent glint in $s eyes as $e scans the room.~
CharFound   You slam into $M hard with your body check.~
OthersFound $n body checks $N hard!~
VictFound   $n slams into you with a brutal body check!~
CharAuto    How are you supposed to body check yourself?~
OthersAuto  $n attempts to body check $mself, what a wierdo!~
NotFound    Damn!  They got away!~
End

#SOCIAL
Name        beg~
CharNoArg   You beg the gods for mercy. ( No way you're gonna get it ! :->)~
OthersNoArg The gods fall down laughing at $n's request for mercy.~
CharFound   You desperately try to squeeze a few coins from $M.~
OthersFound $n begs $N for a dime or two - or twenty !~
VictFound   $n begs you for money. You gratiously let $m peep at your fortune.~
CharAuto    How ? - begging yourself for money doesn't help.~
NotFound    Your money-lender seems to be out for the moment.~
End

#SOCIAL
Name        bhug~
CharNoArg   You look around for someone to squeeze the life out of.~
OthersNoArg $n opens $s arms and looks around for someone to hug.~
CharFound   You smother $M with a great big bear hug.~
OthersFound $N is turning blue from the hug that $n is giving $M.~
VictFound   $n squeezes the life out of you with a great big bear hug.~
CharAuto    You give yourself a great big hug.~
OthersAuto  $n gives $mself a great big hug.~
NotFound    Alas, they are not here to hug.~
End

#SOCIAL
Name        bite~
CharNoArg   Bite who?~
CharFound   You bare your fangs and bite $M on the neck.~
OthersFound $n bares $s fangs and bites $N on the neck.~
VictFound   $n bares $s fangs and bites you on the neck.~
CharAuto    You try to bite yourself.~
OthersAuto  $n tries in vain to bite $mself.~
NotFound    No neck like that around here!~
End

#SOCIAL
Name        blame~
CharNoArg   You look for someone to blame.~
OthersNoArg $n looks around for someone to blame.~
CharFound   You scold $M sternly.~
OthersFound $n scolds $N sternly for what $E did.~
VictFound   $n scolds you sternly for what you did.~
CharAuto    You scold yourself for acting so brashly.~
OthersAuto  $n scolds $mself harshly.~
NotFound    Your victim has sneaked away.~
End

#SOCIAL
Name        bleed~
CharNoArg   You're making an awful mess of the floor.... :(~
OthersNoArg $n bleeds heavily on the ground, making it a big mess.~
CharFound   You make $M bleed into a bucket. Should be a couple of pints there.~
OthersFound $n squeezes a few pints of blood out of $N. What a cruel spectacle.~
VictFound   $n makes you bleed a pint or two, making you feel very tired.....~
CharAuto    You cut your wrists and slowly bleed to death.~
OthersAuto  $n cuts $s wrists and slowly fades away.~
NotFound    Sorry...You got to get your blood elsewhere, buddy.~
End

#SOCIAL
Name        blink~
CharNoArg   You blink your eyes in wonder.~
OthersNoArg $n blinks $s eyes in wonder.~
CharFound   You blink your eyes in wonder at $N's actions.~
OthersFound $n blinks $s eyes in wonder at $N's actions.~
VictFound   $n blinks $s eyes in wonder at your actions.~
CharAuto    In I Dream of Jeanie style you fold your arms and blink, darn they are all still here.~
OthersAuto  $n folds $s hands and blinks, what is this I Dream of Jeanie?~
NotFound    You blink your eyes in wonder wondering where that person is.~
End

#SOCIAL
Name        blow~
CharNoArg   Your cheeks puff out with exertion.~
OthersNoArg $n puffs out $s cheaks like a blowfish.~
CharFound   You blow softly in $S ear.~
OthersFound $n blows softly in $N's ear.~
VictFound   $n blows softly in your ear.~
CharAuto    You try & try but you just can't seem to do it.~
OthersAuto  $n tries to blow in $s own ear, but can't seem to do it!~
NotFound    Sorry, can't find your lover here.~
End

#SOCIAL
Name        blush~
CharNoArg   Your cheeks are burning.~
OthersNoArg $n blushes.~
End

#SOCIAL
Name        boast~
CharNoArg   You boast about your impressive conquests.~
OthersNoArg $n boasts about $s impressive conquests.~
CharFound   You boast about you past deeds to $M.~
OthersFound $n boasts about $s past deeds to $N.~
VictFound   $n boasts about $s past deeds to you.~
CharAuto    You boast to yourself about your glorious deeds.~
OthersAuto  $n boasts to $mself about $s glorious deeds.  (Quite annoying...)~
NotFound    They could care less -- they aren't even here!~
End

#SOCIAL
Name        bonk~
CharNoArg   Bonk who?~
OthersNoArg $n looks for someone to bonk on the head.~
CharFound   You bonk $M on the head.~
OthersFound $n bonks $N on the head.~
VictFound   $n bonks you on the head.~
CharAuto    You bonk yourself on the head.~
OthersAuto  $n bonks $mself on the head.~
NotFound    The noggin has to be available first, doughhead.~
End

#SOCIAL
Name        bounce~
CharNoArg   BOIINNNNNNGG!~
OthersNoArg $n bounces around.~
CharFound   You grab $N and bounce around with $M joyfully.~
OthersFound $n grabs hold of $N and starts bouncing around with $M.~
VictFound   $n takes you out for a joyful bounce.  BOOOIIIINNNNGG!~
CharAuto    You somersault around the room.~
OthersAuto  $n does somersaults of joy around the room.~
NotFound    Ah, well, no-one here by that name, too bad :(~
End

